G41,I'm not sayin',,I ain't saying,,,,,,,,,,,,,Alex_Im_not_sure_disagreeing,"start=""sp1:start"" end=""sp1:start+2.3""/><face type='FACS' au='4' amount='.4' stroke='sp1:start+0' end='sp1:start+2.3'/><face type='FACS' au='45' amount='.1' stroke='sp1:start+0' end='sp1:start+2.3'","start=""sp1:start"" end=""sp1:start+1.8""/><face type='FACS' au='4' amount='.4' stroke='sp1:start+0' end='sp1:start+1.3'/><face type='FACS' au='45' amount='.1' stroke='sp1:start+0' end='sp1:start+1.3'"
G42,Mine too.,,Mine too.,,,,,,,,,,,,,Alex_Yeah_agreeing,"start=""sp1:start"" end=""sp1:start+1.4""/><face type='FACS' au='2' amount='0.3' stroke='sp1:start+0' end='sp1:start+.4'","start=""sp1:start"" end=""sp1:start+1.6""/><face type='FACS' au='2' amount='0.3' stroke='sp1:start+0' end='sp1:start+.4'"
G43,You too!,,You too!,,,,,,,,,,,,,Alex_Yeah_agreeing,"start=""sp1:start"" end=""sp1:start+1.2""/><face type='FACS' au='2' amount='0.3' stroke='sp1:start+0' end='sp1:start+.4'","start=""sp1:start"" end=""sp1:start+.9""/><face type='FACS' au='2' amount='0.3' stroke='sp1:start+0' end='sp1:start+.4'"
G44,Hmmm,,Hmmm,,,,,,,,,,,,,Alex_Hmmmmm,"start=""sp1:start"" end=""sp1:start+1.7""/><face type='FACS' au='45' amount='0.25' stroke='sp1:start+0' end='sp1:start+1.7'/><face type='FACS' au='4' amount='0.4' stroke='sp1:start+0' end='sp1:start+1.7'","start=""sp1:start"" end=""sp1:start+1.7""/><face type='FACS' au='45' amount='0.25' stroke='sp1:start+0' end='sp1:start+1.7'/><face type='FACS' au='4' amount='0.4' stroke='sp1:start+0' end='sp1:start+1.7'"
G45,Hm.,,Hm.,,,,,,,,,,,,,Alex_Hm,"start=""sp1:start"" end=""sp1:start+.9""/><face type='FACS' au='45' amount='0.4' stroke='sp1:start+0' end='sp1:start+.9'/><face type='FACS' au='4' amount='0.3' stroke='sp1:start+0' end='sp1:start+.9'","start=""sp1:start"" end=""sp1:start+1.5""/><face type='FACS' au='45' amount='0.4' stroke='sp1:start+.4' end='sp1:start+1.4'/><face type='FACS' au='4' amount='0.3' stroke='sp1:start+.4' end='sp1:start+1.4'"
G46,Let me think,,Lemme fink,,,,,,,,,,,,,Alex_Let_me_think,"start=""sp1:start"" end=""sp1:start+1.5""/><face type='FACS' au='4' amount='.4' stroke='sp1:start+.45' end='sp1:start+1.5' /><face type='FACS' au='45' amount='.4' stroke='sp1:start+.45' end='sp1:start+1.5'","start=""sp1:start"" end=""sp1:start+1.3""/><face type='FACS' au='4' amount='.4' stroke='sp1:start+0' end='sp1:start+.7' /><face type='FACS' au='45' amount='.4' stroke='sp1:start+0' end='sp1:start+.7'"
G47,Well,,Well,,,,,,,,,,,,,Alex_Hm,"start=""sp1:start"" end=""sp1:start+1.2""/><face type='FACS' au='4' amount='.4' stroke='sp1:start+0' end='sp1:start+1' /><face type='FACS' au='45' amount='.4' stroke='sp1:start+0' end='sp1:start+1' ","start=""sp1:start"" end=""sp1:start+1.5""/><face type='FACS' au='4' amount='.4' stroke='sp1:start+0' end='sp1:start+1' /><face type='FACS' au='45' amount='.4' stroke='sp1:start+0' end='sp1:start+1' "
G48,Hah,,Hah,,,,,,,,,,,,,,,
G49,Hahaha,,Hahaha,,,,,,,,,,,,,,,
G50b,Yeah,,Yeah,,,,,,,,,,,,,,,
G50,Yeah!,,Yeah!,,,,,,,,,,,,,Alex_Yeah_agreeing,"start=""sp1:start"" end=""sp1:start+.8""/><face type='FACS' au='2' amount='0.2' stroke='sp1:start+0' end='sp1:start+.4'","start=""sp1:start"" end=""sp1:start+.8""/><face type='FACS' au='2' amount='0.2' stroke='sp1:start+0' end='sp1:start+.4'"
G51,Yeah,,Yeah,,,,,,,,,,,,,Alex_Yeah_agreeing,"start=""sp1:start"" end=""sp1:start+1.5""/><face type='FACS' au='2' amount='0.2' stroke='sp1:start+0' end='sp1:start+.4'","start=""sp1:start"" end=""sp1:start+1.5""/><face type='FACS' au='2' amount='0.2' stroke='sp1:start+0' end='sp1:start+.4'"
