RootName,SBE_Utterance_Analysis,AAVE_Utterance_Analysis,AAVE_Utterance_BML,AAVE_Utterance_Phonetics,SBE_wav_name,SBE_wav,AAVE_wav_name,AAVE_wav,NeutralDistinct,AAVEFeatures,Phono,TaskIntro,Monologue,MonologueNumber,Gesture,args,aae_args,Feedback: test,AT: test,Social: test,Task Intro: test,Prepping for presentation: test,Presentation Mode: test,Social Talk: test,Accountable Talk: test,On-task Sentences: test,Dialect Use: test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G21,"Oh, cool.",,"Oh, cool.",,,,,,,,,,,,Alex_Oh_cool,"start=""sp1:start"" end=""sp1:start+1.5""/><face type='FACS' au='2' amount='.25' stroke='sp1:start+0' end='sp1:start+.43'","start=""sp1:start"" end=""sp1:start+1.4""/><face type='FACS' au='2' amount='.25' stroke='sp1:start+0' end='sp1:start+.43'",1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G22,Mostly computer games.,,Mostly computer games.,,,,,,,,,,,,G92v,"start=""sp1:start"" end=""sp1:start+1""/><face type='FACS' au='4' amount='.3' stroke='sp1:start+0' end='sp1:start+1'/><face type='FACS' au='45' amount='.3' stroke='sp1:start+0' end='sp1:start+1'","start=""sp1:start"" end=""sp1:start+1""/><face type='FACS' au='4' amount='.3' stroke='sp1:start+0' end='sp1:start+1'/><face type='FACS' au='45' amount='.3' stroke='sp1:start+0' end='sp1:start+1'",,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G23,I have like teachers and stuff.,,I got like teachers and stuff.,,,,,,,,,,,,G23v,"start=""sp1:start"" end=""sp1:start+2.3""",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G24,I guess I'm kind of like a game.,,I guess I'm kind of like a game.,,,,,,,,,,,,G24v,"start=""sp1:start"" end=""sp1:start+3""",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G25,I like sports,,I like sports,,,,,,,,,,,,Alex_Oh_cool,"start=""sp1:start"" end=""sp1:start+1.8""","start=""sp1:start"" end=""sp1:start+1.8""",,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G26,I have two little sisters,,I got two lil sister,,,,,,,,,,,,G26v,"start=""sp1:start"" end=""sp1:start+2.7""/><face type='FACS' au='2' amount='.3' stroke='sp1:start+1.45' end='sp1:start+1.9'",/><face type='FACS' au='2' amount='.25' stroke='sp1:start+1.1' end='sp1:start+1.7',,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G27,I've never done anything like this before,,I ain't never done nothing like dis before.,,,,,,,,,,,,Alex_Ive_never_seen_any_creatures_like_these_before,"start=""sp1:start"" end=""sp1:start+2.5""/><face type='FACS' au='45' amount='1' stroke='sp1:start+.17' end='sp1:start+.9'","start=""sp1:start"" end=""sp1:start+2.5""/><face type='FACS' au='45' amount='1' stroke='sp1:start+.17' end='sp1:start+.9'",,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G28,What about you?,,What bout you?,,,,,,,,,,,,Alex_Oh_why_curious,"start=""sp1:start"" end=""sp1:start+1.9""/><face type='FACS' au='45' amount='0.3' stroke='sp1:start+0' end='sp1:start+.6'/><face type='FACS' au='4' amount='0.4' stroke='sp1:start+0' end='sp1:start+.6'","start=""sp1:start"" end=""sp1:start+1.2""/><face type='FACS' au='45' amount='0.3' stroke='sp1:start+0' end='sp1:start+.6'/><face type='FACS' au='4' amount='0.4' stroke='sp1:start+0' end='sp1:start+.6'",,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G30,I guess,,I guess,,,,,,,,,,,,Alex_Oh_why_curious,"start=""sp1:start"" end=""sp1:start+1.5""/><face type='FACS' au='4' amount='0.25' stroke='sp1:start+0.1' end='sp1:start+.9'","start=""sp1:start"" end=""sp1:start+1.5""/><face type='FACS' au='4' amount='0.3' stroke='sp1:start+0.2' end='sp1:start+1'",,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G31,I guess I like science.,,I guess I like science.,,,,,,,,,,,,Alex_like,"start=""sp1:start"" end=""sp1:start+3.6""/><face type='FACS' au='45' amount='.3' stroke='sp1:start+.1' end='sp1:start+1'/><face type='FACS' au='4' amount='.4' stroke='sp1:start+.1' end='sp1:start+1'","start=""sp1:start"" end=""sp1:start+2.3""/><face type='FACS' au='45' amount='.3' stroke='sp1:start+.1' end='sp1:start+1'/><face type='FACS' au='4' amount='.4' stroke='sp1:start+.1' end='sp1:start+1'",,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G32,It's okay.,,Is okay.,,,,,,,,,,,,Alex_Uhhuh,"start=""sp1:start"" end=""sp1:start+1""","start=""sp1:start"" end=""sp1:start+1.2""",,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G33,My teacher's really nice.,,My teacher real nice,,,,,,,,,,,,G33v,"start=""sp1:start"" end=""sp1:start+2.1""",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
